clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized,PCA_Component_1,PCA_Component_2,Cluster_PCA
27.png,9,12879,498,0.929687427,25.86144526,255,1,-1.103819314,-0.669419839,1
28.png,1,13011,500,0.937499927,26.02199948,255,1,-1.097974655,-0.666331797,1
28.png,2,12979,500,0.937499927,25.95799948,255,1,-1.099894097,-0.666133594,1
28.png,7,13117,504,0.937984423,26.02579313,255,1,-1.094979706,-0.665188803,1
28.png,9,13014,502,0.945312426,25.92430227,255,1,-1.099874199,-0.662443918,1
28.png,10,12874,498,0.944881815,25.8514051,255,1,-1.104939784,-0.663351254,1
29.png,2,12944,500,0.937499927,25.88799948,255,1,-1.101993486,-0.66591681,1
29.png,3,12875,500,0.937499927,25.74999949,255,1,-1.106132282,-0.665489436,1
29.png,5,12920,500,0.937499927,25.83999948,255,1,-1.103433068,-0.665768158,1
29.png,6,12888,496,0.9370078,25.98387044,255,1,-1.101997504,-0.667371416,1
29.png,7,12950,500,0.95275583,25.89999948,255,1,-1.102456435,-0.659892047,1
29.png,8,12782,496,0.9370078,25.77016077,255,1,-1.108399534,-0.666709207,1
29.png,10,12878,498,0.929687427,25.85943723,255,1,-1.103879503,-0.669413619,1
29.png,11,12797,496,0.9370078,25.80040271,255,1,-1.107493587,-0.666802916,1
29.png,12,12771,496,0.9370078,25.74798335,255,1,-1.109063896,-0.666640487,1
3.png,3,11756,514,1.170940071,22.87159489,255,1,-1.195256664,-0.560469185,1
30.png,3,12881,498,0.929687427,25.86546133,255,1,-1.103698936,-0.66943228,1
30.png,4,12833,498,0.944881815,25.76907579,255,1,-1.10740752,-0.663096216,1
30.png,8,12903,496,0.9370078,26.01411238,255,1,-1.101091557,-0.667465125,1
30.png,10,12841,496,0.9370078,25.88911238,255,1,-1.10483614,-0.667077795,1
30.png,11,12752,496,0.9370078,25.7096769,255,1,-1.110211429,-0.666521789,1
31.png,6,13117,504,0.937984423,26.02579313,255,1,-1.094979706,-0.665188803,1
32.png,6,13104,504,0.937984423,25.99999948,255,1,-1.095754183,-0.665108967,1
33.png,5,13059,504,0.937984423,25.91071377,255,1,-1.098435065,-0.664832611,1
34.png,5,12977,502,0.945312426,25.85059709,255,1,-1.102085987,-0.662215723,1
35.png,5,12896,496,0.9370078,25.99999948,255,1,-1.101514332,-0.667421394,1
4.png,4,11674,510,1.172413692,22.89019563,255,1,-1.19757482,-0.56089795,1
40.png,1,12922,500,0.937499927,25.84399948,255,1,-1.103313102,-0.665780546,1
46.png,2,12748,494,0.944444369,25.80566749,255,1,-1.109186814,-0.664345236,1
47.png,3,12733,494,0.944444369,25.77530312,255,1,-1.110095904,-0.664251121,1
5.png,4,11685,510,1.172413692,22.91176426,255,1,-1.196926083,-0.560964653,1
50.png,2,37972,1384,0.116968697,27.43641599,255,1,-0.357994822,-0.783559328,1
50.png,3,10946,458,0.94017086,23.8995628,255,1,-1.19152736,-0.668762349,1
50.png,4,10930,456,0.94827578,23.96929772,255,1,-1.191316476,-0.666238428,1
50.png,5,10969,458,0.94017086,23.94978114,255,1,-1.190039496,-0.668918781,1
