area,perimeter,angle_of_inclination,texture,intensity,Cluster_Pred
-0.413851691829107,0.028667795267544424,2.060205152470264,-0.419192743772429,0.0,2
-0.46857537521614756,-0.012051167881478466,2.0673697814739542,-0.5072784260863105,0.0,2
-0.778777187343161,-0.7609260118830733,-0.5002989381965475,-0.492565689597532,0.0,1
-0.7791809457449625,-0.7591556221809419,-0.4970492762761997,-0.5000575923634313,0.0,1
-0.4678399581271518,-0.012051167881478466,2.0673697814739542,-0.5055028556324902,0.0,2
-0.9578728784280209,-1.125626290522148,-0.5136072258979261,-1.459209685909223,0.0,1
-0.9581612772864506,-1.1273966802242794,-0.49493716119195824,-1.4646361521437212,0.0,1
0.28544344014837136,0.17561014054445312,-0.4797679429793012,0.9015979063274475,0.0,0
1.0886631007610015,0.6306002939922306,-0.5863001959852492,1.5124555663303574,0.0,4
1.0643510769953757,0.6128963969709162,-0.5813866013606089,1.5054022937262022,0.0,4
1.1030253639108019,0.6447634116092821,-0.5875633379049056,1.5100911732485183,0.0,4
-0.9570221017956532,-1.1203151214157536,-0.4546490973473993,-1.4448964765815566,0.0,1
1.101785248819554,0.6429930219071506,-0.5869994106672903,1.511248708189242,0.0,4
2.5809974136485407,2.859520928975701,-0.37510710667898634,0.8008116838935609,0.0,3
-0.4678399581271518,-0.012051167881478466,2.0673697814739542,-0.5055028556324902,0.0,2
-0.7786474078568676,-0.7591556221809419,-0.4970492762761997,-0.49658628855208453,0.0,1
1.106082391810157,0.6447634116092821,-0.5875633379049056,1.5148440701825243,0.0,4
-0.9568490624805954,-1.1185447317136221,-0.39176043868512384,-1.44443377145826,0.0,1
1.6449268189002573,1.4963208583344998,-0.2767586767942107,1.0714525909379762,0.0,4
-0.469714550706945,-0.012051167881478466,2.0673697814739542,-0.5100288195343848,0.0,2
1.096233570794782,0.6819415953540421,-0.5877766368228619,1.4362457127787571,0.0,4
-0.7778687309391074,-0.7573852324788105,-0.5000958340885133,-0.49636975415248025,0.0,1
1.9612859466547454,1.6361816448028828,-0.38241877820394665,1.2545108433931322,0.0,3
1.1050874157485744,0.6429930219071506,-0.5875633379049056,1.5163876654717598,0.0,4
-0.7779696705395578,-0.7591556221809419,-0.4970492762761997,-0.4921767945214549,0.0,1
-0.7791665258020412,-0.7609260118830733,-0.5002989381965475,-0.49510901735709983,0.0,1
-0.09247442393794174,-0.2085644248180672,-0.4424323536504586,0.8179532691648149,0.0,0
0.942257420279151,1.4609130642918713,-0.3758945778938971,0.3509953889626476,0.0,4
-0.41150124113290476,0.028667795267544424,2.060205152470264,-0.41370595314990427,0.0,2
0.28923588513672227,0.18977325816150456,-0.4797679429793012,0.8828712783037855,0.0,0
-0.9590120539188183,-1.1327078493306737,-0.4743018396187391,-1.4820144101206483,0.0,1
1.0895427172792123,0.7934761465883221,-0.5875633379049056,1.2509247709815094,0.0,4
-0.9570076818527318,-1.1203151214157536,-0.4546490973473993,-1.4443773447074773,0.0,1
-0.4172692183014993,0.028667795267544424,2.060205152470264,-0.4271704700149956,0.0,2
-0.7791232659732766,-0.7591556221809419,-0.4970492762761997,-0.4996823162757181,0.0,1
-0.9590120539188183,-1.1327078493306737,-0.4743018396187391,-1.4820144101206483,0.0,1
-0.4122943379935865,0.028667795267544424,2.060205152470264,-0.4155573242188545,0.0,2
-0.41340467359854094,0.028667795267544424,2.060205152470264,-0.4181492437153844,0.0,2
-0.46736410001074274,-0.012051167881478466,2.0673697814739542,-0.5043539571035477,0.0,2
-0.41173196021964853,0.028667795267544424,2.060205152470264,-0.41424453382450815,0.0,2
-0.40995830724030574,0.030438184969675854,2.025935227859927,-0.4119658338489971,0.0,2
-0.07811216078814139,-0.14837117494559857,-0.44083889001939236,0.7127731529634894,0.0,0
2.5809397338768547,2.812605601869218,-0.3738352683665782,0.8300561412928738,0.0,3
-0.9570221017956532,-1.1203151214157536,-0.4546490973473993,-1.4448964765815566,0.0,1
-0.9578728784280209,-1.125626290522148,-0.5136072258979261,-1.459209685909223,0.0,1
-0.7787916072860824,-0.7609260118830733,-0.5002989381965475,-0.4926598869219604,0.0,1
1.1064428903831942,0.6465338013114135,-0.5875633379049056,1.5123179302821717,0.0,4
-0.9584640960878018,-1.1291670699264107,-0.4743018275512933,-1.470917965006257,0.0,1
-0.957310500654083,-1.1220855111178851,-0.4743018068642415,-1.4496276563489021,0.0,1
1.0829672233070144,0.8182616024181621,-0.5869994106672903,1.20529254313083,0.0,4
-0.7796712238042931,-0.7609260118830733,-0.5002989381965475,-0.49840592371209524,0.0,1
-0.4160291032102515,0.028667795267544424,2.060205152470264,-0.4242755988890011,0.0,2
-0.09419039714559861,-0.21387559392446148,-0.4424323536504586,0.8265452585996386,0.0,0
-0.7793684050029419,-0.7591556221809419,-0.4970492762761997,-0.5012772396484988,0.0,1
-0.957310500654083,-1.1220855111178851,-0.4743018068642415,-1.4496276563489021,0.0,1
-0.7790511662586692,-0.7609260118830733,-0.5002989381965475,-0.4943554387616724,0.0,1
-0.07097428904200566,-0.14660078524346715,-0.4392454263883262,0.7281461735826453,0.0,0
-0.7786474078568676,-0.7609260118830733,-0.5002989381965475,-0.49171791367767614,0.0,1
-0.1424539461038133,-0.28823196141398155,-0.4822998255658003,0.8810917877640515,0.0,0
1.0530458417449304,0.6235187351837049,-0.5815897986831735,1.4689255482669972,0.0,4
-0.9584640960878018,-1.1291670699264107,-0.4743018275512933,-1.470917965006257,0.0,1
1.0839766193115186,0.6217483454815734,-0.5829087466798327,1.5207059936356373,0.0,4
-0.41566860463721433,0.025127015863281563,2.0903778484355073,-0.41973317292623286,0.0,2
-0.7790944260874337,-0.7591556221809419,-0.4970492762761997,-0.49949467823186156,0.0,1
0.7876179523891319,0.8731436831842365,-0.3751239492400786,0.719669128674992,0.0,4
-0.8063769580948857,-0.7945634162235705,-0.4989935210620809,-0.5873109234752325,0.0,1
-0.7746819235534589,-0.7538444530745476,-0.499895878881135,-0.48546650037606714,0.0,1
1.103385862483839,0.6412226322050192,-0.5869994106672903,1.5168335696903552,0.0,4
-0.41341909354146245,0.028667795267544424,2.060205152470264,-0.41818290500754723,0.0,2
1.1027946448240582,0.6465338013114135,-0.5875633379049056,1.5066512792613045,0.0,4
-0.4093670895805248,0.041060523182464434,2.0893374146698176,-0.4216577970798544,0.0,2
1.9408673074779208,1.7211603505051913,-0.38241877820394665,1.1483987923822345,0.0,3
1.1037319411139548,0.6429930219071506,-0.5883391031090844,1.5142782244911628,0.0,4
0.2836121073973426,0.20393637577855597,-0.4797679429793012,0.8452858032787107,0.0,0
-0.776556516133252,-0.755614842776679,-0.49687156014993494,-0.49271130110597117,0.0,1
-0.7788781269436114,-0.7591556221809419,-0.4970492762761997,-0.4980873929029372,0.0,1
-0.7780706101400081,-0.7573852324788105,-0.5000958340885133,-0.4976779665943535,0.0,1
1.0921815668338442,0.6306002939922306,-0.5863001959852492,1.5179682051922252,0.0,4
1.1039338203148557,0.6447634116092821,-0.5875633379049056,1.5115035907336238,0.0,4
-0.41742783767363567,0.025127015863281563,2.0903778484355073,-0.42385171958053147,0.0,2
-0.7785032084276527,-0.7591556221809419,-0.4970492762761997,-0.4956480983328017,0.0,1
-0.09101800970287163,-0.20502364541380433,-0.4424323536504586,0.8131768662322725,0.0,0
-0.8062615985515139,-0.7945634162235705,-0.4989935210620809,-0.5864948208929034,0.0,1
2.583520903659801,2.8648320980820956,-0.3760036068384853,0.7993194796571301,0.0,3
-0.41406799097292935,0.026897405565412993,2.0952910275694236,-0.4178444948874434,0.0,2
-0.09419039714559861,-0.21387559392446148,-0.4424323536504586,0.8265452585996386,0.0,0
-0.46638354389208164,-0.012051167881478466,2.0673697814739542,-0.5019865298317874,0.0,2
-0.957310500654083,-1.1220855111178851,-0.4743018068642415,-1.4496276563489021,0.0,1
-0.775071262012339,-0.7538444530745476,-0.499895878881135,-0.487969457854538,0.0,1
2.5180399428533318,3.3295593948915956,-0.372210916579756,0.5010241941488833,0.0,3
1.820576143626882,2.1407427099103407,-0.37607733161714757,0.6868820965026258,0.0,3
-0.1158924112424355,-0.22980910124364434,-0.46950270679419154,0.8039470595076822,0.0,0
-0.7958792396480437,-0.7485332839681533,-0.4031452561217917,-0.6344704489449919,0.0,1
-0.9584785160307233,-1.1291670699264107,-0.4743018275512933,-1.471501988356485,0.0,1
-0.7782580693979875,-0.7609260118830733,-0.5002989381965475,-0.48917458591810814,0.0,1
1.9543066942807459,1.6839821667604313,-0.38241877820394665,1.198534812347913,0.0,3
-0.41213571862145015,0.028667795267544424,2.060205152470264,-0.41518705000506445,0.0,2
-0.7775659121377562,-0.7573852324788105,-0.5000958340885133,-0.4944074354896706,0.0,1
0.28441962420094585,0.18977325816150456,-0.4811345227233905,0.8729317204889214,0.0,0
1.0812224102135146,0.6235187351837049,-0.5829087466798327,1.5132432866535463,0.0,4
