clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized
25.png,4,13085,500,0.937499927,26.16999948,255,1
25.png,5,500,90,1.047618549,5.555554938,255,1
26.png,1,13035,500,0.937499927,26.06999948,255,1
26.png,2,399,80,0.999999474,4.987499377,255,1
26.png,3,361,76,0.999999444,4.749999375,255,1
26.png,4,511,92,1.1999994,5.554347222,255,1
26.png,5,361,76,0.999999444,4.749999375,255,1
26.png,6,6777,354,0.966292026,19.14406726,255,1
26.png,7,12916,498,0.944881815,25.93574245,255,1
26.png,8,500,90,1.047618549,5.555554938,255,1
27.png,1,12959,498,0.944881815,26.02208783,255,1
27.png,2,12910,496,0.9370078,26.02822528,255,1
27.png,3,398,80,0.999999474,4.974999378,255,1
27.png,4,361,76,0.999999444,4.749999375,255,1
27.png,5,511,92,1.1999994,5.554347222,255,1
27.png,6,361,76,0.999999444,4.749999375,255,1
27.png,7,13082,502,0.930232486,26.05976044,255,1
27.png,8,499,90,1.047618549,5.544443828,255,1
27.png,9,12879,498,0.929687427,25.86144526,255,1
28.png,1,13011,500,0.937499927,26.02199948,255,1
28.png,2,12979,500,0.937499927,25.95799948,255,1
28.png,3,398,80,0.999999474,4.974999378,255,1
28.png,4,361,76,0.999999444,4.749999375,255,1
28.png,5,511,92,1.1999994,5.554347222,255,1
28.png,6,361,76,0.999999444,4.749999375,255,1
28.png,7,13117,504,0.937984423,26.02579313,255,1
28.png,8,499,90,1.047618549,5.544443828,255,1
28.png,9,13014,502,0.945312426,25.92430227,255,1
28.png,10,12874,498,0.944881815,25.8514051,255,1
29.png,2,12944,500,0.937499927,25.88799948,255,1
29.png,3,12875,500,0.937499927,25.74999949,255,1
29.png,4,454,86,1.157894127,5.279069154,255,1
29.png,5,12920,500,0.937499927,25.83999948,255,1
29.png,6,12888,496,0.9370078,25.98387044,255,1
29.png,7,12950,500,0.95275583,25.89999948,255,1
29.png,8,12782,496,0.9370078,25.77016077,255,1
29.png,9,479,88,0.999999524,5.4431812,255,1
29.png,10,12878,498,0.929687427,25.85943723,255,1
29.png,11,12797,496,0.9370078,25.80040271,255,1
29.png,12,12771,496,0.9370078,25.74798335,255,1
3.png,3,11756,514,1.170940071,22.87159489,255,1
30.png,3,12881,498,0.929687427,25.86546133,255,1
30.png,4,12833,498,0.944881815,25.76907579,255,1
30.png,5,399,80,1.111110494,4.987499377,255,1
30.png,8,12903,496,0.9370078,26.01411238,255,1
30.png,9,479,88,0.999999524,5.4431812,255,1
30.png,10,12841,496,0.9370078,25.88911238,255,1
30.png,11,12752,496,0.9370078,25.7096769,255,1
31.png,2,398,80,0.999999474,4.974999378,255,1
31.png,3,361,76,0.999999444,4.749999375,255,1
31.png,4,511,92,1.1999994,5.554347222,255,1
31.png,5,361,76,0.999999444,4.749999375,255,1
31.png,6,13117,504,0.937984423,26.02579313,255,1
31.png,7,499,90,1.047618549,5.544443828,255,1
32.png,2,398,80,0.999999474,4.974999378,255,1
32.png,3,361,76,0.999999444,4.749999375,255,1
32.png,4,492,90,1.149999425,5.466666059,255,1
32.png,5,361,76,0.999999444,4.749999375,255,1
32.png,6,13104,504,0.937984423,25.99999948,255,1
32.png,7,499,90,1.047618549,5.544443828,255,1
33.png,3,492,90,1.149999425,5.466666059,255,1
33.png,4,361,76,0.999999444,4.749999375,255,1
33.png,5,13059,504,0.937984423,25.91071377,255,1
33.png,6,479,88,0.999999524,5.4431812,255,1
